日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板,2连板,首板,3连板以上个股,3连板个股,2连板个股,备注
2025-12-25,3772,1473,79,0,24,7,2,13,57,胜通能源10;嘉美包装7;神剑股份6;合兴包装4;圣晖集成4;安通控股4;创元科技4,航天工程;九鼎新材,上海港湾;超捷股份;隆基机械;再升科技;金时科技;博云新材;中国卫星;厦门国贸;广道退;直真科技;大业股份;五洲特纸;鲁信创投,
2025-12-26,1866,3413,82,1,20,5,9,8,60,胜通能源11;嘉美包装8;神剑股份7;安通控股5;九鼎新材4,上海港湾;隆基机械;再升科技;中国卫星;厦门国贸;广道退;大业股份;五洲特纸;鲁信创投,天奇股份;汇洁股份;扬子新材;长江通信;通宇通讯;锋龙股份;泰尔股份;中核科技,
2025-12-29,1995,3331,72,16,26,6,4,8,54,胜通能源12;嘉美包装9;神剑股份8;中国卫星4;大业股份4;鲁信创投4,天奇股份;扬子新材;锋龙股份;泰尔股份,冀凯股份;恒大高新;珠海中富;德力股份;苏州高新;中超控股;洲际油气;航天发展,
2025-12-30,1839,3481,54,13,26,5,1,12,36,嘉美包装10;大业股份5;天奇股份4;锋龙股份4;泰尔股份4,恒大高新,步科股份;宏英智能;汇得科技;勘设股份;天普股份;模塑科技;正和生态;统一股份;御银股份;雷科防务;五洲新春;龙高股份,
2025-12-31,2474,2775,57,6,19,3,4,5,45,大业股份6;锋龙股份5;泰尔股份5,宏英智能;御银股份;雷科防务;五洲新春,南兴股份;天铭科技;美能能源;天创时尚;众望布艺,
2026-01-05,4184,1168,108,8,26,2,1,11,94,锋龙股份6;雷科防务4,南兴股份,利欧股份;顺控发展;农心科技;王子新材;城建发展;蓝色光标;索菱股份;友邦吊顶;中国卫通;烽火通信;北斗星通,
2026-01-06,4107,1222,120,1,25,3,6,33,78,锋龙股份7;雷科防务5;南兴股份4,农心科技;城建发展;索菱股份;友邦吊顶;中国卫通;北斗星通,谱尼测试;快意电梯;岩山科技;国晟科技;金房能源;三房巷;翔宇医疗;麦澜德;倍益康;美好医疗;伟思医疗;爱朋医疗;国际医学;创新医疗;三博脑科;塞力医疗;嘉事堂;金海通;立昂微;普利特;荣泰健康;引力传媒;盈趣科技;美克家居;志特新材;亚翔集成;航天长峰;熵基科技;海格通信;南京熊猫;银河电子;诚益通;和泰机电,
2026-01-07,2173,3189,80,3,44,4,11,8,57,锋龙股份8;雷科防务6;友邦吊顶4;城建发展4,快意电梯;岩山科技;美好医疗;创新医疗;嘉事堂;普利特;引力传媒;美克家居;志特新材;银河电子;南京熊猫,鹭燕医药;盈新发展;胜通能源;远东股份;北方导航;江顺科技;鲁信创投;金风科技,
2026-01-08,3730,1595,92,3,29,9,5,12,66,锋龙股份9;快意电梯4;岩山科技4;普利特4;创新医疗4;美克家居4;志特新材4;银河电子4;南京熊猫4,鹭燕医药;远东股份;江顺科技;鲁信创投;金风科技,国机重装;中国一重;弘讯科技;展鹏科技;乐凯胶片;中国核建;东方明珠;彤程新材;必贝特-U;通宇通讯;邵阳液压;雪人集团,
2026-01-09,3919,1349,94,1,46,7,3,9,75,锋龙股份10;志特新材5;快意电梯5;银河电子5;江顺科技4;鲁信创投4;金风科技4,中国一重;弘讯科技;东方明珠,亚联发展;乾照光电;三孚股份;中衡设计;杭萧钢构;航天电子;直真科技;巨力索具;派斯林,
2026-01-12,4143,1182,183,3,48,8,6,29,140,锋龙股份11;志特新材6;银河电子6;鲁信创投5;金风科技5;东方明珠4;中国一重4;弘讯科技4,亚联发展;中衡设计;杭萧钢构;航天电子;直真科技;巨力索具,易点天下;恒为科技;税友股份;昆仑万维;三维通信;利欧股份;金域医学;美年健康;迪安诊断;茂业商业;博瑞传播;省广集团;引力传媒;天龙集团;天下秀;电广传媒;粤 传 媒;浙文互联;交运股份;旭升集团;达华智能;国新健康;众诚科技;中国卫通;信科移动-U;东方通信;东信和平;安泰科技;国机精工,
2026-01-13,1622,3728,66,49,62,5,8,16,37,锋龙股份12;鲁信创投6;杭萧钢构4;直真科技4;巨力索具4,三维通信;利欧股份;美年健康;天龙集团;引力传媒;省广集团;交运股份;东方通信,展鹏科技;博菲电气;电科芯片;居然智家;三江购物;视觉中国;人民网;新华网;金隅集团;德龙汇能;普路通;炬申股份;明牌珠宝;真爱美家;友邦吊顶;海格通信,
